quarter,quarter_num,total_rev,crypto_rev,event_rev,net_interest,net_income,total_opex,crypto_pct,nii_pct,net_margin,opex_ratio
Q1-25,1,927,252,3.0,290,336,557,0.27184466019417475,0.31283710895361383,0.36245954692556637,0.6008629989212514
Q2-25,2,989,160,,357,386,550,0.16177957532861476,0.3609706774519717,0.3902932254802831,0.5561172901921132
Q3-25,3,1274,268,,456,556,639,0.21036106750392464,0.3579277864992151,0.4364207221350079,0.5015698587127159
Q4-25,4,1283,221,,411,605,633,0.17225253312548713,0.32034294621979736,0.4715510522213562,0.49337490257209665
Q1-26,5,1067,134,104.0,359,346,656,0.12558575445173384,0.3364573570759138,0.32427366447985007,0.6148078725398313
